city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Juazeiro,2918407.0,2020-07-01,True,721,0.0291,21,100,2,-9.41622,-40.5033
Jucuruçu,2918456.0,2020-07-01,True,3,0.0,0,2,0,-16.8488,-40.1641
Jussara,2918506.0,2020-07-01,True,1,0.0,0,0,0,-11.0431,-41.9702
Jussari,2918555.0,2020-07-01,True,7,0.0,0,0,0,-15.192,-39.491
Jussiape,2918605.0,2020-07-01,True,2,0.0,0,0,0,-13.5155,-41.5882
Lafaiete Coutinho,2918704.0,2020-07-01,True,7,0.1429,1,0,0,-13.6541,-40.2119
Laje,2918803.0,2020-07-01,True,16,0.0,0,0,0,-13.1673,-39.4213
Lajedo do Tabocal,2919058.0,2020-07-01,True,11,0.0,0,3,0,-13.4663,-40.2204
Lajedão,2918902.0,2020-07-01,True,8,0.0,0,0,0,-17.6056,-40.3383
Lamarão,2919108.0,2020-07-01,True,22,0.0,0,0,0,-11.773,-38.887
Lapão,2919157.0,2020-07-01,True,33,0.0,0,6,0,-11.3851,-41.8286
Lauro de Freitas,2919207.0,2020-07-01,True,2360,0.0148,35,130,2,-12.8978,-38.321
Lençóis,2919306.0,2020-07-01,True,0,0.0,0,0,0,-12.5616,-41.3928
Licínio de Almeida,2919405.0,2020-07-01,True,11,0.0,0,0,0,-14.6842,-42.5095
Livramento de Nossa Senhora,2919504.0,2020-07-01,True,16,0.0,0,0,0,-13.6369,-41.8432
Luís Eduardo Magalhães,2919553.0,2020-07-01,True,259,0.0116,3,15,0,-12.0956,-45.7866
Macajuba,2919603.0,2020-07-01,True,9,0.0,0,0,0,-12.1326,-40.3571
Macarani,2919702.0,2020-07-01,True,24,0.0417,1,0,0,-15.5646,-40.4209
Macaúbas,2919801.0,2020-07-01,True,4,0.0,0,0,0,-13.0186,-42.6945
Macururé,2919900.0,2020-07-01,True,18,0.0,0,2,0,-9.16226,-39.0518
Madre de Deus,2919926.0,2020-07-01,True,220,0.0091,2,7,0,-12.7446,-38.6153
Maetinga,2919959.0,2020-07-01,True,1,0.0,0,0,0,-14.6623,-41.4915
Maiquinique,2920007.0,2020-07-01,True,16,0.0,0,4,0,-15.624,-40.2587
Mairi,2920106.0,2020-07-01,True,64,0.0,0,7,0,-11.7107,-40.1437
Malhada,2920205.0,2020-07-01,True,2,0.0,0,0,0,-14.3371,-43.7686
Malhada de Pedras,2920304.0,2020-07-01,True,2,0.0,0,0,0,-14.3847,-41.8842
Manoel Vitorino,2920403.0,2020-07-01,True,43,0.0233,1,5,0,-14.1476,-40.2399
Mansidão,2920452.0,2020-07-01,True,37,0.0,0,0,0,-10.7227,-44.0428
Maracás,2920502.0,2020-07-01,True,32,0.0312,1,1,0,-13.4355,-40.4323
Maragogipe,2920601.0,2020-07-01,True,96,0.0312,3,2,0,-12.776,-38.9175
Maraú,2920700.0,2020-07-01,True,35,0.0571,2,1,0,-14.1035,-39.0137
Marcionílio Souza,2920809.0,2020-07-01,True,7,0.0,0,0,0,-13.0064,-40.5295
Mascote,2920908.0,2020-07-01,True,11,0.0,0,2,0,-15.5542,-39.3016
Mata de São João,2921005.0,2020-07-01,True,163,0.0061,1,2,0,-12.5307,-38.3009
Matina,2921054.0,2020-07-01,True,0,0.0,0,0,0,-13.9109,-42.8439
Medeiros Neto,2921104.0,2020-07-01,True,101,0.0099,1,7,0,-17.3707,-40.2238
Miguel Calmon,2921203.0,2020-07-01,True,18,0.0556,1,0,0,-11.4299,-40.6031
Milagres,2921302.0,2020-07-01,True,54,0.0185,1,0,0,-12.8646,-39.8611
Mirangaba,2921401.0,2020-07-01,True,5,0.0,0,0,0,-10.960999999999999,-40.574
Mirante,2921450.0,2020-07-01,True,7,0.1429,1,0,0,-14.2385,-40.7718
Monte Santo,2921500.0,2020-07-01,True,71,0.0282,2,2,1,-10.4374,-39.3321
Morpará,2921609.0,2020-07-01,True,12,0.0833,1,0,0,-11.5569,-43.2766
Morro do Chapéu,2921708.0,2020-07-01,True,10,0.0,0,1,0,-11.5488,-41.1565
